full_text,sentiment_label,sentiment_score
kena dampak kenaikan ppn,negative,-6.0
muhaimin iskandar alias cak imin tegaskan pemerintah merencanakan bansos terkait dampak kenaikan ppn persen cakimin ppn bansos muhaiminiskandar menterikoordinatorbidangpemberdayaanmasyarakat,negative,-1.0
ironi sih orang kaya tax amnesti disaat bersamaan rakyat yg melarat terkena dampak kenaikan ppn negara tidak berdaya kalo berhadapan orang kaya,negative,-9.0
pemerintah memutuskan menaikkan tarif ppn kebijakan menuai pro kontra dampak kenaikan pajak kebebasan yuk ikuti diskusi tolakppn libertarian libertarianindonesia,positive,1.0
belajar usaha bisnis keberlanjutan sustainable business amp dampak kenaikan ppn keberlanjutan usaha,negative,-3.0
ketua kadin anindya bakrie membahas rencana kenaikan ppn kadin kaji dampak kebijakan rapimnas,positive,3.0
kenaikan ppn dampak kenaikan,negative,-3.0
nahlo ppn aja belom dampak kenaikan ppn harga barang,positive,1.0
bu guru prihatin krn kena dampak efek ppn harga sisi baiknya gaji tau nya mari syukuri kenaikan,positive,5.0
ceo pizza hut bukabukaan dampak kenaikan ppn,negative,-3.0
berlaku januari dampak kenaikan ppn dirasakan intip tips berhemat bunda,negative,-1.0
dampak negatif ditimbulkan kebijakan kenaikan ppn dilaksanakan kenaikan harga barang jasa dampak langsung kenaikan harga barang jasa konsumsi seharihari perusahaan membebankan,positive,17.0
dewan ekonomi nasional den mengumumkan penundaan kenaikan ppn mengkaji dampak ekonomi kebijakan berlaku januari,negative,-5.0
opung baca peta dampak kenaikan ppn kerusuhan negeri,negative,-6.0
komisi informasi dki jakarta pemerintah mengkaji matang terkait dampak muncul diterapkannya kebijakan kenaikan ppn persen pendapat sahabatkip komisiinformasidki bukainformasipublik hakandauntuktahu,negative,-6.0
pelaku industri multifinance indonesia mengkhawatirkan dampak kenaikan tarif pajak pertambahan nilai ppn persen persen januari selengkapnya,positive,4.0
ok google dampak kenaikan ppn,positive,1.0
tmn yg pas pemilu kmrn getol bgt pasang story sm sound ok gas skrg ngeluh ppn pgn misuh tp gw jg kena dampak kenaikan ppn shitt,negative,-4.0
dampak ikutan kebijakan rencana kenaikan ppn persen perhatian presiden prabowo polhuk adadikompas,positive,8.0
dampak negatif ppn inflasi pengangguran pemerintah kenaikan tarif ppn januari kenaikan dikhawatirkan menimbulkan efek domino pasaran daya beli masyarakat harga barang kebutuhan pokok melambung,positive,2.0
ppn masyarakat menolak kenaikan berdampak barang sabun detergen bumbu kemasan dampak kenaikan ppn dengarkan ruangpublikkbr,negative,-2.0
dampak kenaikan ppn mencari beradaptasi menabung belajar giat optimis majalahsunday kenaikanppn,positive,1.0
tp konsumen menengah terkena dampak tidak langsung dr kenaikan biaya logistik printilan² overheas cost yg pake ppn,negative,-5.0
ngitungnya asumsi pengusaha rantai pasokan serakahnya ama yg murni matematika ekonomi dampak kenaikan ppn ngga substansial kaitannya turunnya permintaan harganya,negative,-13.0
gua bilang kemaren realitanya minimal sampe konsumen naiknya buzzerbuzzer jokowi kemaren mengecilkan dampak kenaikan ngebelain jokowi sampe pembodohan publik dampak ppn kali,negative,-11.0
dampak kenaikan ppn persen kebutuhan pokok umkm kenaikan ppn berdampak harga kebutuhan pokok umkm simak dampaknya rekomendasi kebijakan pemulihan ekonomi selengkapnya cirebonrayajeh indonesia berita cirebon,positive,8.0
harapkan dampak kenaikan ppn membahasnya satusatu harga barang jasa harga barang jasa meningkat seiring kenaikan ppn contoh membeli pakaian sepatu,positive,13.0
angka signifikan efek domino dinamika pasar interaksi pajak pasar perilaku konsumen menghasilkan dampak kumulatif kenaikan tarif ppn,positive,3.0
kenaikan pajak pertambahan nilai ppn udah berpengaruh sepakbola iklim suporter nominal sekilas keliatan dampak signifikan udah turun lapangan gimana penjelasan fenomena utas,positive,12.0
pakar beber dampak kenaikan ppn transaksi kripto,positive,1.0
nyusun tax updates weekly mayoritas beritanya dampak negatif keluhan kenaikan ppn nyempil berita ruu tax amnesty jilid iii udah masuk prolegnas dpr gila emang rakyat menengah dibikin susah pengemplang pajak diampuni,negative,-26.0
kenaikan ppn bawa dampak positif rakyat,negative,-1.0
kenaikan ppn bawa dampak positif rakyat,negative,-1.0
sederhana memahami dampak kenaikan ppn lha mosok orangorang pinter negara nggak nyampe dapatnya efek samping gak dipikir kzl kakistokrasi,negative,-6.0
tarif dukun naek gak dampak wacana kenaikan ppn tau yg dapet bocoran nih,negative,-11.0
bahas dampak kenaikan ppn hitungan ekonomi dead weight loss ya,positive,3.0
dampak masyarakat kenaikan pajak menurutku kenaikan ppn mengurangi daya beli masyarakat berpenghasilan menengah harga barang jasa seiring kenaikan pajak,negative,-3.0
salah paham kenaikan ppn dekamin jelasin ya kenaikan pajak ditetapkan uu nomor dampak positif kenaikan ppn program strategis sederet perlindungan sosial pemerintah pajak ppn kenaikanppn,negative,-1.0
kisruh kenaikan ppn persen dampak positif negatifnya radarjabar ppn ppnpersen dampakkernaikanpajak pajak ekonomi dirjenpajak,negative,-3.0
gak mikirin dampak kenaikan pajak mikirin mikirin diganyang kenaikan ppn diterima rakyat,negative,-13.0
kalo dibarengin koordinasi antarlembaga mitigasi dampak kenaikan ppn kaya th semoga ae kenaikan yg skrg dimitigasi kaya ditingkatin pengeluaran publiknya ngobatin sentimen masyarakat,negative,-8.0
dampak kenaikan ppn persen bapanas harga beras bnetwork,positive,2.0
guys negara ga aja dampak kenaikan ppn berpengaruh banget trutama kpopers yg beli md ayo bersuara tolakppnpersen tolakkenaikanppn pajakmencekik,positive,4.0
ekonom sarankan langkah mitigasi atasi dampak kenaikan ppn persen,positive,3.0
udah bahas dampak kenaikan ppn th sektor mikroekonomi makroekonomi indonesia,negative,-1.0
dampak kenaikan ppn langsung menaikkan tarif harga barang jasa barang jasa mahal pungutan ppn masyarakat tidak langsung diterima negara uangnya tertahan kas rekening penjual diperhitungkan diakhir spt hening,positive,12.0
dikritik pengusaha ekonom beberkan dampak kenaikan ppn persen dunia usaha radarjabar ppnpersen ritel ekonomi kenaikanpajak usaha,negative,-8.0
wakil ketua dpr ri cucun ahmad khawatir kenaikan ppn berdampak kesejahteraan rakyat dampak kesejahteraan rakyat kenaikan pajak memiliki efek domino efek turunan tidak diiringi kenaikan upah pekerja,negative,-10.0
pemerintah menaikkan tarif ppn persen kenaikan ppn berdampak positif penerimaan negara dibayar dgn inflasi pemerintah mengkaji ulang rencana dampak signifikan,negative,-1.0
bentuk protes inisiatif muncul petisi menuntut pembatalan kebijakan ribuan tanda tangan terkumpul muncul seruan boikot belanja adopsi gaya hidup hemat frugal living mengurangi dampak kenaikan ppn,negative,-12.0
rencana kenaikan pajak pertambahan nilai ppn persen dampak luas dibandingkan peningkatan tarif persen lt ppnpersen otomotif,positive,4.0
berlaku januari dampak kenaikan ppn dirasakan intip tips berhemat,positive,1.0
sembuh akibat dampak deflasi masyarakat kelas menengah ditambah penderitaannya kenaikan ppn,negative,-4.0
kenaikan ppn dampak berbedabeda teoritis ppn regresif,negative,-3.0
airlangga kenaikan ppn diberlakukan diatur uu siapkan rencana meredam dampak,negative,-8.0
belajar ekonomi ah kenaikan ppn multiplier efek thdp barang jasa kenaikan pd raw material faktor produksi dampak yg signifikan dirasakan msyrkt menengah kbawah apalg daya beli msy yg rendah phk,negative,-3.0
analisis sentimen media sosial positif harap kenaikan ppn tingkatkan pendapatan negara diatur diatur uu negatif kritik kenaikan ppn beban ekonomi picu penurunan konsumsi dampak negatif umkm potensi boikot frugal living kritik pemerintah,negative,-12.0
kejam ppn rakyat miskin terkena dampak kenaikan pajak konsumen tax amnesty bedebahbedebah mudah mencuci harta,negative,-12.0
inget dlu pas dampak kenaikan ppn bener kerasa masy yg dagang kerasa bgt penurunan daya beli masy uda berkali lipat yg jual bingung cari puteran modal smntara pembeli menurun emng taek,negative,-8.0
mari kencangkan ikat pinggang masyarakat yg konsumtiv kenaikan ppn dampak utang negara pembangunan infrastruktur yg ugal²an korupsi yg merajalela era jokowi,negative,-16.0
wakil ketua dpr dampak buruk kenaikan ppn persen ganggu gaji karyawan padangekspres,negative,-7.0
sdh ajari nipu bohongi rakyat sm mulyadi yg angka kemiskinan dampak kenaikan tarif ppn mjd yg mengakibatkan harga product barang jasa,positive,4.0
dampak kenaikan ppn persen masyarakat pelaku usaha,negative,-4.0
dampak kenaikan ppn ekonomi saham,negative,-3.0
kenaikan tarif tidak otomatis pendapatan negara kenaikan ppn disarankan ditunda dampak kenaikan ppn penerimaan negara rebutkembalitanahpik rebutkembalitanahpik,negative,-5.0
potensi penerimaan negara rp triliun kenaikan tarif ppn tidak sebanding dampak negatif ekonomi dihasilkan,negative,-5.0
wakil ketua dpr ri wakil ketum pkb cucun syamsurijal alasan kenaikan ppn dikaji ulang dampak daya beli dampak pertumbuhan ekonomi situasi masyarakat susah,negative,-10.0
kebijakan berdampak perusahaan ujungnya mempengaruhi kesejahteraan karyawannya terkena dampak kebijakan kenaikan ppn persen masyarakat pendapatan perusahaan,positive,10.0
kenaikan tarif ppn persen pengamat ekonomi unismuh soroti dampak konsumen,negative,-1.0
kenaikan tarif tidak otomatis pendapatan negara kenaikan ppn disarankan ditunda dampak kenaikan ppn penerimaan negara adilijokowilawanaguan adilijokowilawanaguan,negative,-5.0
melanjutkan efek berantai dampak kenaikan ppn pertumbuhan ekonomi sulit mencapai target persen,positive,2.0
rencana kenaikan tarif pajak pertambahan nilai ppn persen persen diberlakukan januari berpotensi dampak berantai perekonomian nasional,positive,1.0
dampak kenaikan ppn sri mulyani kaya rakyat menjeritttt menyala utang ri,negative,-7.0
hrsnya yg dituntut adlh dampak kemanfaatan konsumenrakyat sbg kompensasi kenaikan ppn krn ppn msk kas negara seyogyanya dikembalikan dlm bentuk program yg lngsng nyentuh rakyat spt pendidikan kesehatan transportasi dll,positive,1.0
arti dampak kenaikan ppn tidak malu timor leste ketawa,negative,-5.0
pertumbuhannya persen maksud caption tempo tuh poin persen yg gambar jg ambigu sih maksudnya dampak kenaikan ppn,negative,-3.0
menarik nih ronny sasmita analis ekonomi bilang dampak berantai dirasain akibat kenaikan ppn yuk bahas satusatu,positive,1.0
kenaikan ppn dampak tips mengatasi beban ekonomi,negative,-4.0
pemerintah kredit beasiswa insentif kurangi dampak kenaikan ppn persen,negative,-1.0
ketua oikn tanggapi dampak kenaikan ppn pembangunan ikn,negative,-3.0
sulit kehidupan rakyat kedepannya dampak perekonomian terpuruk perihal kenaikan ppn anggota dpr mpr setuju,negative,-9.0
om terlepas apapun dampak kenaikan ppn tolong ppn finalnya dibebankan,negative,-7.0
dampak kenaikan ppn persen simak ekonomi adadikompas,negative,-3.0
kayaknya emg jarang ya kt ngomongin gmn dampak kenaikan ppn rumah tangga kelompok ekonomi rendah utamanya perempuan dlm rumah tangga rt kental norma gender tradisional dmn perempuan ngatur,negative,-15.0
komisi vii fpks ppn beratkan umkm ditinjau ulang merasakan dampak kenaikan pajak sektor umkm logikanya mempengaruhi persen pendapatan ekonomi nasional hendry munief,negative,-2.0
kah dampak kenaikan ppn dispesifikkan gender perempuan,negative,-3.0
kehidupan rakyat yg sdh berat kenaikan ppn mjd yg berdampak pd kenaikan kebutuhan hidup dampaknya bg rakyat musibah bundir meningkat dampak dr beratnya beban hidup rakyat miskin meningkat drastis cermin dr gagalnya pemerintah dll,negative,-15.0
kenaikan tarif pajak pertambahan nilai ppn dijadwalkan berlaku diprediksi dampak signifikan ekonomi indonesia konsumsi rumah tangga prospek pertumbuhan ekonomi,positive,5.0
ppn lahirkan ekses hutang beratus trilyun cpt lunas tp dampak mencekik ppn aja perputaran uang beranjak tenggorokan rakyat tercekat bs ditunda kenaikan ppn min tenggorokan rakyat yg kerontang tdk henti napas,negative,-18.0
dampak berantai kenaikan ppn persen masyarakat siapsiap penurunan daya beli,negative,-7.0
utas suara rakyat dianggap suara ai pertimbangan pemerintahan presiden dampak kenaikan ppn kelompok miskin aspiring middle class indonesia grok,negative,-4.0
direktur riset center of reform on economic kenaikan tarif ppn dampak signifikan masyarakat kelas menengah mayoritas penghasilan kelas menengah dihabiskan konsumsi barang jasa,negative,-2.0
rakyat sengsara dampak kenaikan ppn,negative,-8.0
berdiskusi asosiasi retail dampak kenaikan ppn heii inget prass ppn jd aja membebani,negative,-3.0
orang warga negara indonesia wajib pajak terkena efekdampak kenaikan ppn jovin pekerja alhamdulillah penghasilannya diatas ptkp kena efeknya gak jovin maaf jelasin ya jovin,positive,3.0
potensi dampak positif peningkatan penerimaan negara kenaikan ppn menambah penerimaan negara rp triliun dana pembiayaan pembangunan program sosial,positive,15.0
dampak masyarakat kenaikan harga barang amp jasa barang jasa dikenakan ppn mahal belanja rp juta dikenakan pajak rp ribu rp ribu,positive,7.0
pendukung nya ngerti ga yaa dampak kenaikan ppn,positive,1.0
kenaikan ppn salah dampak pengaruh kehidupan seharihari prabowo periode,negative,-6.0
mgkn tidak merasakan rakyat yg hidupnya pasan dampak kenaikan ppn kpd biaya kehidupan sembako dsb negara cita adil makmur pemimpinnya,negative,-3.0
mah enak ga ngerasain dampak kenaikan ppn,negative,-3.0
ppn gaji umr kabupaten provinsi dinaikin donk klo gak yg inflasi dampak terbesar kenaikan pajak kenaikan barang jasa meningkat nya biaya hidup,negative,-4.0
dampak kenaikan ppn persen berlaku januari harga jasa barang otomatis biaya rumah tangga aneh bilang negara,positive,12.0
beristighfar kelas ekonomi menengah kebawah kena dampak kenaikan ppn,negative,-9.0
apbn total pendapatan negara dr pajak rp pph nya ppn nya kontribusi terbesar pph dr nonmigas dampak kenaikan ppn dr gt harga penurunan daya beli gt konsumsi turun potensi phk bertambah gt pph tertekan dampaknya sistemik,negative,-14.0
diskusiinteraktif mengantisipasi dampak rencana kenaikan tarif pajak pertambahan nilai ppn januari talk pengamat keuangan internasional irwan ibrahim streaming,negative,-1.0
diskusiinteraktif mengantisipasi dampak rencana kenaikan tarif pajak pertambahan nilai ppn januari talk wakil ketua kadin jakarta timur muhammad sirod streaming,negative,-1.0
sri mulyani tarif ppn januari sesuai uu hpp kekhawatiran dpr pelaku usaha ritel terkait dampak daya beli pemerintah kenaikan menjaga stabilitas apbn thepajajaranidn news,negative,-10.0
apbn total pendapatan negara dr pajak rp pph nya ppn nya kontribusi terbesar pph dr nonmigas dampak kenaikan ppn dr gt harga penurunan daya beli gt konsumsi turun potensi phk bertambah gt pph tertekan sistemik,negative,-14.0
mgkn tidak merasakan rakyat yg hidupnya pasan dampak kenaikan ppn lgs pd biaya kehidupan hrg sembako dsb negara cita adil makmur pemimpinnya,negative,-3.0
mgkn tidak merasakan rakyat yg hidupnya pasan dampak kenaikan ppn berdampak lgs pd biaya kehidupan hrg sembako dsb negara cita adil makmur pemimpinnya,negative,-3.0
dampak kenaikan ppn minat masyarakat pesawat berkurang,negative,-5.0
mgkn tidak merasakan rakyat yg hidupnya pasan dampak kenaikan ppn kpd biaya kehidupan sembako dsb negara cita adil makmur pemimpinnya,negative,-3.0
kawan gt setara ngeluarin duit ppn yg dikeluarin cth harga barang ppn ppn dampak thd kenaikan harga supply chain its much bigger than you thought,positive,5.0
kebijakan mendongkrak pendapatan negara sektor pajak gimana dampak kenaikan tarif ppn sektor otomotif,negative,-4.0
tarif ppn siapkan bisnis perubahan patuh pajak ketahui dampak kenaikan ppn situs ketinggalan ppn bisnissiappajak,positive,2.0
pemerintah memutuskan kenaikan ppn dikenakan barangbarang mewah skema tarif ppn bervariasi tergantung jenis barang jasa penerapan ppn multitarif simak informasi ppnpersen,positive,4.0
responden mengusulkan penundaan penolakan rencana kenaikan kutipan pajak persen riset adadikompas,negative,-3.0
responden mengusulkan penundaan penolakan rencana kenaikan kutipan pajak persen riset adadikompas,negative,-3.0
presiden prabowo subianto kenaikan pajak pertambahan nilai ppn amanat undangundang uu dilaksanakan pemerintah pelaksanaannya menyasar barang mewah gtgt detikfinance ppn,positive,5.0
rinci deh sept tagihan tax total tagihan apr tagihan tax total tagihan total tagihan total tagihan ga kenaikan pajak yaaa,negative,-3.0
orang goblok berfikir pajak lingkaran setan yg orang krn kenaikan harga barang,negative,-9.0
pembodohan petinggi bhw ppn utk barang mewah ppn dikenakan utk barang yg dijual pengusaha kena pajak pkp kenaikan tdk memberatkan publikasinya krg informatif ppn beda dg ppnbm pajak penjualan barang mewah,negative,-13.0
wmj sabtu kemaren yg orasi perampasan tanah papua kenaikan pajak kritik implementasi uu tpks mendukung palestina congo sudan rohingya turun jalan kak biar tau marching ngapain aja yg gak haha hihi doang,negative,-19.0
januari tarif pajak pertambahan nilai ppn direncanakan kenaikan tarif ppn berlaku barang masuk kategori barang kena pajak bkp jasa kena pajak jkp berpengaruh,negative,-8.0
min pembuatan fp keluaran jasa kontruksi januari tarif ppn sesuai dgn kenaikan atw bagaimna ya min mohon penjelasannya ya min,positive,18.0
pemerintah dpr kenaikan tarif pajak pertambahan nilai ppn januari sesuai undangundang presiden prabowo subianto kenaikan ppn persen berlaku barangbarang mewah ppn undangundang ya,positive,14.0
yg sosialisasinya tdk oranginstansi memahami ttg kenaikan pajak contoh kenaikan tarif tol jasa marga sdh pasang spanduk pemberitahuan kenaikan tarif tol jd masyarakat tdk kaget,positive,5.0
presiden prabowo subianto kenaikan pajak pertambahan nilai ppn amanat undangundang uu dilaksanakan pemerintah pelaksanaannya menyasar barang mewah detik,positive,5.0
gembel loe tau ttg pajak otakmu tdk mencerna akibat dampak kenaikan ppn dasar idioooooot,negative,-14.0
babiiiiii bnagsaaaaat trs berharap indonesia akn maju klo hukum yg koruptor tdk akn jera dlm merampok uang rakyat tp rakyat akn cekik dg kenaikan pajak,negative,-10.0
prabowo tidak berhak mengutip pajak kenaikan ppn yg tdk pilih yg milih yg membayar adilkan,negative,-15.0
saking gapercayanya rakyat pemerintah sampe bayar iklan pake pajak bikin image bagusan dikit kenaikan pajak foto berita lo,negative,-13.0
yg bikin geli org kere yg belain kenaikan pajak yg jd gak mikir skemanya yg kali skema ppn tarif,negative,-8.0
tidak percaya kenaikan ppn bela bantu rakyat kecillbh percaya dipake pejabat hedon korup pgawalan dmn mn dgn keluarganya jugapajak yg skrg aja udh lbh cukupmalah bs bayarin rakyat lagitp dtipu pejabat turunannya,negative,-12.0
masyarakat nggak bantuan secuil bansos batalkan kenaikan pajak kerja pemerintah malakin rakyat,negative,-3.0
prabowo pidato bagus kebijakan menunda kenaikan pajak nggak kenaikan pajak memberatkan masyarakat,negative,-7.0
aduh adaada permintaanmu ppn penambahan aja kau takut pendapatanmu dpr ri kenaikan bebas pajak,negative,-9.0
mending prabowo batalin kenaikan pajak deh,negative,-4.0
semoga nilai positif nya kenaikan pajak,positive,6.0
gak setuju pemerintah menerapkan yg direncanakan kenaikan pajak pendapatan negara yg menopang apbn meningkat dimasa,negative,-3.0
kenaikan pajak baiknya gak dipilahpilah ribet menentukan kategori barang mewah yg kategori barang murah ratakan rakyat maklum apbn dialokasikan utk gaji fasilitas mentri,negative,-6.0
kepala badan percepatan pengentasan kemiskinan bp taskin budiman sudjatmiko kenaikan pajak pertambahan nilai ppn persen dikenakan barang mewah lt ppnpersen kenaikanppn budimansudjatmiko,positive,5.0
presiden prabowo subianto penerapan pajak pertambahan nilai ppn persen dilaksanakan sesuai undangundang penerapan bersifat selektif prabowo kenaikan ppn berlaku barangbarang,positive,7.0
pakar ekonomi islam nida saadah ak mei menilai seruan frugal living menghadapi rencana kenaikan pajak mengancam ekonomi indonesia ulasannya flashnews nasional,negative,-6.0
pajak bikin pusing barang beli kena pajak elektronik sisi kenaikan ppn bertujuan mendukung pembangunan pemulihan ekonomi harga barangbarang,negative,-11.0
iya mengganggu barang elektronik kena ppn barang ponsel televisi kulkas perangkat elektronik terkena dampak kenaikan pajak harga barang meningkat kebijakan pemerintah,negative,-3.0
pung bersikeras mengusulkan kenaikan pajak ppn dibatalkan rasio pajak yg dinaikkan orang yg uang yg disasar ppn yg dinaikkan orang miskin terkena dahlan iskan,negative,-14.0
debat kenaikan ppn memuncak november ribu percakapan trending tolakppnpersen kritik pengampunan pajak konglomerat ironisnya jarak kenaikan ppn ppn bertahan ya,negative,-1.0
ppn thn pajak bikin warganet ribut pro kontra yuk bahas biar paham aja sih dampaknya utas kajian medsos november terkait wacana kenaikan ppn spoiler bilang,positive,4.0
komunitas motor keluhkan kenaikan opsen pajak kendaraan bermotor bnetwork,negative,-4.0
persis setengahnya dr kenaikan pajak gila ya,negative,-1.0
presiden prabowo subianto kenaikan pajak pertambahan nilai ppn persen persen amanat undangundang uu dilaksanakan pemerintah,positive,9.0
min solusi gundah pajak opsen kendaraan gak ku jual mobil kalok ku jual mobil customer nnti kenak kenaikan pajak opsen iya customer bebankan perusahaan gak bayar nya bingung,negative,-3.0
presiden prabowo subianto klarifikasi terkait rencana kenaikan tarif pajak pertambahan nilai ppn foto bpmi setpres simak selengkapnya,positive,2.0
pakar ekonomi islam nida saadah ak mei menilai seruan frugal living menghadapi rencana kenaikan pajak mengancam ekonomi indonesia ulasannya flashnews nasional,negative,-6.0
hutang negara bejibun rakyat yg bebani dg kenaikan pajak nya sdh susah susah donk,negative,-14.0
jadiin kenaikan pajak cuman berlaku ppnkarena sektor pajaki sektor impor salah terbesar aja insentif pajak melonggarkan importir mengimpor barang loh,negative,-9.0
kenaikan pajak persen tidak efektif ekonom,negative,-1.0
pemerintah mengumumkan kenaikan tarif pajak pertambahan nilai ppn persen januari dipungut barang mewah barang tidak mewah dikenakan tarif ppn persen alias tidak gus baha rakyat jelata velove yati pesek miyabi bisadipegang,negative,-6.0
nderrr ibuku bilang kenaikan pajak ide bagus biar orangorang korup bayar pajak negara trus jwb klo pajak ntar ttp dimakan korup bayarin pajak mreka tpi ibuku bilang sok tau plizzzzz gmna menyadarkan ibuku,negative,-34.0
hasil kenaikan pajak penjualan persen berlaku tanggal januari kirakira rp triliun,negative,-2.0
duitnya kenaikan pajak rakyat,negative,-3.0
ujungnya tetep kenaikan pajak yg bayar ngitungnya jgn harga barang harga bayar transport harga sewa gudang harga sewa toko gaji pegawai dll kena imbasnya soo jgn anggep sepele dah skrng org komen kaga sesuai konteks,positive,5.0
presiden prabowo subianto kenaikan tarif pajak pertambahan nilai ppn persen berlaku barang mewah dampaknya dirasakan rakyat lt ppnpersen prabowosubianto,positive,7.0
ppn rakyat menolak mengikuti nordic model state capture turunnya kelas menengah pajak ikatan rakyat negara pelik dunia episode kenaikan ppn tayang senin,negative,-2.0
kenaikan ppn barangbarang mewah pimpinan dpr ri fraksi partai gerindra sufmi dasco ahmad kenaikan pajak pertambahan nilai ppn dikenakan barangbarang mewah tidak kenaikan pajak barangbarang,negative,-6.0
pertemuan membahas aspirasi masyarakat terkait rencana kenaikan tarif pajak pertambahan nilai ppn persen diberlakukan januari sesuai amanat undangundang kemensetnegri rilispresiden,positive,6.0
kunci relevansi dunia nyata kenaikan pajak pajak rakyat tax amnesty barang impor murah bebas pajak,negative,-10.0
rencana pemberlakuan kenaikan pajak pertambahan nilai ppn persen januari dukungan dewan ekonomi nasional den wakil rakyat wakil ketua dpr ri sufmi dasco mengumumkan hasil pertemuan dpr,positive,12.0
trs gw bingung yg msh bilang kenaikan ppn konsekuensi rakyat yg pgn welfare state cuyyy bener bth pemasukan tp bkin pajak yg berkeadilan kek inimah yg kaya dimanja yg menengah diperes sebel gw org ky gini napa tone deaf sih,negative,-11.0
faklah mabok mabok kepikiran kenaikan pajak,negative,-11.0
suka ferry nalar kritisnya bagus sinisini debatin gak mending bahas terkait isu kenaikan pajak kinerja pemerintah gitu sudut pandang kerja kemenkeusekolah perpajakan,negative,-3.0
pemerintah mengumumkan kenaikan ppn pekan kenaikan pajak menempatkan indonesia negara tarif ppn tertinggi dunia berdasarkan data pricewaterhousecoopers pwc indonesia masuk urutan detikfinance ppn,negative,-8.0
pemerintah berkalikali ga paham ga paham akar ga paham solusinya emangnya diselesain hapus pajak kendaraan pribadi mengkompensasi kenaikan ppn menghapus pajak kendaraan pribadi negara beneran pajaknya,negative,-8.0
